micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,,1,2,2,3,0.6786718997334235,0.40082920319418874,"VZ, T",VZ | T,141 | 142
2,1.0,2,8,5,12,0.6957823323243604,0.388027753741892,"DOGE-USD, SOL-USD, BNB-USD, AVAX-USD, BTC-USD, ETH-USD, ADA-USD, DOT-USD",DOGE-USD | SOL-USD | BNB-USD | AVAX-USD | BTC-USD | ETH-USD | ADA-USD | DOT-USD,66 | 62 | 63 | 68 | 60 | 61 | 65 | 67
3,3.0,7,4,33,36,0.9041233080545718,0.20500488650897605,"UGA, USO, DBC, PDBC",UGA | USO | DBC | PDBC,44 | 43 | 41 | 42
4,3.0,8,10,37,46,0.7154893195763624,0.3703718401120074,"BKR, PSX, MPC, VLO, OXY, SLB, HAL, CVX, XLE, XOM",BKR | PSX | MPC | VLO | OXY | SLB | HAL | CVX | XLE | XOM,107 | 103 | 102 | 104 | 101 | 105 | 106 | 99 | 16 | 100
5,3.0,9,2,48,49,0.6783847187253019,0.40100828001096067,"CMCSA, CHTR",CMCSA | CHTR,143 | 144
6,3.0,10,2,57,58,0.7951301131760188,0.3200545944241242,"GLD, SLV",GLD | SLV,36 | 37
7,3.0,12,2,70,71,0.7977458053917844,0.3180048699377225,"GM, F",GM | F,155 | 156
8,3.0,13,2,75,76,0.8745768803076228,0.2504227622365598,"HD, LOW",HD | LOW,115 | 116
9,3.0,14,3,77,79,0.7294334252412377,0.36646530861558024,"LI, NIO, XPEV",LI | NIO | XPEV,160 | 149 | 159
10,3.0,15,88,81,168,0.4416869778087303,0.5149829139810295,"RIVN, XLU, TSM, DBB, PEP, PG, XLP, KO, ADBE, UNP, CSX, NSC, CAT, COPX, AVGO, HON, LIT, BABA, ... (+70)",RIVN | XLU | TSM | DBB | PEP | PG | XLP | KO | ADBE | UNP | CSX | NSC | CAT | COPX | AVGO | HON | LIT | BABA | TCEHY | AMD | TSLA | TFC | HYG | VWOB | EMB | IGOV | TIP | BNDX | SHY | TLT | VCSH | LQD | VCIT | MBB | IEF | SCHZ | AGG | BND | XLV | AXP | BLK | FAN | ICLN | TAN | PBD | PBW | QCLN | C | MS | AMZN | AAPL | GS | GOOGL | NVDA | RWX | RWO | XLRE | SCHH | IYR | VNQ | FREL | VWO | EEM | IEMG | WFC | META | BRK-B | JPM | MSFT | BAC | XLB | XLC | XLF | IWM | XLY | XLI | DIA | EFA | SCHF | VEA | SPDW | ACWI | VTI | IVV | SPY | VOO | QQQ | XLK,157 | 23 | 133 | 40 | 110 | 108 | 21 | 109 | 136 | 93 | 94 | 95 | 90 | 39 | 140 | 91 | 165 | 147 | 148 | 131 | 74 | 88 | 51 | 32 | 35 | 33 | 53 | 31 | 52 | 48 | 58 | 50 | 59 | 56 | 49 | 57 | 54 | 55 | 19 | 85 | 86 | 166 | 161 | 162 | 167 | 163 | 164 | 82 | 84 | 72 | 69 | 80 | 71 | 73 | 27 | 30 | 22 | 28 | 26 | 25 | 29 | 10 | 8 | 34 | 83 | 76 | 75 | 79 | 70 | 81 | 24 | 20 | 15 | 3 | 18 | 17 | 2 | 7 | 13 | 9 | 12 | 11 | 5 | 4 | 0 | 6 | 1 | 14
