sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,1,5,1,5,0.2690111835370078,0.078047672050061,"META, GS, PM, NSC, BKR",META | GS | PM | NSC | BKR,76 | 80 | 112 | 95 | 107
2,1,2,6,7,12,0.1896466386794102,0.05737400316447442,"NVDA, SHY, UNP, LCID, LLY, AVGO",NVDA | SHY | UNP | LCID | LLY | AVGO,73 | 52 | 93 | 158 | 126 | 140
3,2,5,11,13,23,0.5987350276520575,0.06685587505003471,"BAC, XLRE, IYR, DIA, FREL, VNQ, SCHH, XLI, IEF, QCLN, LIT",BAC | XLRE | IYR | DIA | FREL | VNQ | SCHH | XLI | IEF | QCLN | LIT,81 | 22 | 26 | 2 | 29 | 25 | 28 | 17 | 49 | 164 | 165
4,2,6,5,24,28,0.29152170703027785,0.06706102628038146,"CAT, CSX, SHOP, DIS, VZ",CAT | CSX | SHOP | DIS | VZ,90 | 94 | 151 | 78 | 141
5,2,7,4,29,32,0.2457580347519779,0.0833531947166124,"IBM, C, MSFT, LI",IBM | C | MSFT | LI,135 | 82 | 70 | 160
6,2,8,7,33,39,0.2850520190061211,0.03954850122091539,"KRBN, XOM, AMD, TLT, VWO, VWOB, EMB",KRBN | XOM | AMD | TLT | VWO | VWOB | EMB,168 | 100 | 131 | 48 | 10 | 32 | 35
7,2,9,7,40,46,0.3644433615472651,0.05944186896000407,"SOYB, IWM, EEM, TIP, PBW, VCSH, VCIT",SOYB | IWM | EEM | TIP | PBW | VCSH | VCIT,47 | 3 | 8 | 53 | 163 | 58 | 59
8,3,10,7,47,53,0.357650023559152,0.08171421398003764,"TSLA, XPEV, WFC, NFLX, MS, JPM, SNOW",TSLA | XPEV | WFC | NFLX | MS | JPM | SNOW,74 | 159 | 83 | 77 | 84 | 79 | 138
9,4,11,4,54,57,0.7315649187067971,0.07075616601949349,"ADA-USD, DOT-USD, BTC-USD, AVAX-USD",ADA-USD | DOT-USD | BTC-USD | AVAX-USD,65 | 67 | 60 | 68
10,4,12,3,58,60,0.6572602113217761,0.10233383807839386,"ETH-USD, BNB-USD, DOGE-USD",ETH-USD | BNB-USD | DOGE-USD,61 | 63 | 66
11,4,13,14,61,74,0.33729350758779547,0.07830306050389926,"WEAT, RWX, BNDX, BLK, RWO, XLF, XLC, AAPL, AXP, BRK-B, TJX, BABA, JNJ, TSM",WEAT | RWX | BNDX | BLK | RWO | XLF | XLC | AAPL | AXP | BRK-B | TJX | BABA | JNJ | TSM,46 | 27 | 31 | 86 | 30 | 15 | 20 | 69 | 85 | 75 | 120 | 147 | 121 | 133
12,4,14,2,76,77,0.20589682976443272,0.11521301520286573,"LMT, BMY",LMT | BMY,92 | 129
13,5,16,3,78,80,0.3835102495205293,0.12805703639903662,"INTC, UPS, F",INTC | UPS | F,132 | 96 | 156
14,6,17,2,81,82,0.06363757434442567,0.08107920288631182,"ABBV, PANW",ABBV | PANW,125 | 139
15,6,18,2,83,84,0.3661962437739416,0.0865832255333875,"NKE, CRM",NKE | CRM,119 | 137
16,6,19,4,85,88,0.26998066953025257,0.12757441533482725,"TFC, CVS, MPC, KO",TFC | CVS | MPC | KO,88 | 124 | 102 | 109
17,7,20,8,89,96,0.20345090485746536,0.07271582713317566,"MO, MRNA, UNH, TMUS, AMZN, FAN, PFE, RIVN",MO | MRNA | UNH | TMUS | AMZN | FAN | PFE | RIVN,111 | 127 | 123 | 145 | 72 | 166 | 122 | 157
18,7,21,13,97,109,0.3372000624017152,0.06395041011499372,"TCEHY, CORN, TAN, DBC, SPDW, COPX, QQQ, DBB, MBB, PBD, XLP, SLV, HYG",TCEHY | CORN | TAN | DBC | SPDW | COPX | QQQ | DBB | MBB | PBD | XLP | SLV | HYG,148 | 45 | 162 | 41 | 12 | 39 | 1 | 40 | 56 | 167 | 21 | 37 | 51
19,8,22,10,110,119,0.36043826714966054,0.053121526594759626,"PPLT, BND, SCHZ, XLB, USO, LQD, AGG, PSX, IGOV, IEMG",PPLT | BND | SCHZ | XLB | USO | LQD | AGG | PSX | IGOV | IEMG,38 | 55 | 57 | 24 | 43 | 50 | 54 | 103 | 33 | 34
20,8,23,4,120,123,0.2551661167118085,0.05944430520796493,"FDX, CHTR, SCHW, ORCL",FDX | CHTR | SCHW | ORCL,97 | 144 | 87 | 134
21,8,24,7,124,130,0.31611796221442146,0.0707601704575872,"ADBE, CMCSA, SLB, ICLN, GOOGL, BA, GM",ADBE | CMCSA | SLB | ICLN | GOOGL | BA | GM,136 | 143 | 105 | 161 | 71 | 89 | 155
22,9,25,11,131,141,0.2837808808757809,0.08268210074452415,"ACWI, VLO, BYDDF, XLY, UGA, HON, CVX, MCD, REGN, PEP, HD",ACWI | VLO | BYDDF | XLY | UGA | HON | CVX | MCD | REGN | PEP | HD,11 | 104 | 154 | 18 | 44 | 91 | 99 | 117 | 128 | 110 | 115
23,10,26,9,142,150,0.22746514096169573,0.08486290114011014,"SE, TGT, WMT, INFY, MELI, WBD, RTX, GILD, T",SE | TGT | WMT | INFY | MELI | WBD | RTX | GILD | T,152 | 114 | 113 | 150 | 153 | 146 | 98 | 130 | 142
24,11,27,7,151,157,0.4385161588993621,0.04277367121814478,"OXY, SCHF, VTI, GLD, PDBC, VEA, XLK",OXY | SCHF | VTI | GLD | PDBC | VEA | XLK,101 | 13 | 5 | 36 | 42 | 9 | 14
25,11,28,11,158,168,0.4594875345088852,0.05392663225598719,"IVV, SPY, VOO, EFA, XLV, HAL, PG, XLE, XLU, LOW, NIO",IVV | SPY | VOO | EFA | XLV | HAL | PG | XLE | XLU | LOW | NIO,4 | 0 | 6 | 7 | 19 | 106 | 108 | 16 | 23 | 116 | 149
