sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices,mean_dist_corr_intra,mean_dist_quantum_intra
1,1,1,2,0,1,0.16315089598024085,0.6468574433442654,"ETH-USD, BKR",ETH-USD | BKR,61 | 107,0.6468574433442654,0.08942998434835805
2,1,2,11,2,12,0.5795404934266095,0.40643177950203446,"RWO, SCHH, VNQ, FREL, XLRE, IYR, BTC-USD, BLK, AAPL, TJX, TSM",RWO | SCHH | VNQ | FREL | XLRE | IYR | BTC-USD | BLK | AAPL | TJX | TSM,30 | 28 | 25 | 29 | 22 | 26 | 60 | 86 | 69 | 120 | 133,0.40643177950203446,0.05357772974802424
3,1,3,5,13,17,0.4734703780058983,0.49699392904709966,"JPM, WFC, LMT, MS, AXP",JPM | WFC | LMT | MS | AXP,79 | 83 | 92 | 84 | 85,0.49699392904709966,0.08230086945500566
4,1,4,8,19,26,0.4964319202078532,0.4789301726699446,"DIA, XLI, IWM, WEAT, XLC, BRK-B, BAC, CAT",DIA | XLI | IWM | WEAT | XLC | BRK-B | BAC | CAT,2 | 17 | 3 | 46 | 20 | 75 | 81 | 90,0.4789301726699446,0.07499349238106294
5,2,6,5,28,32,0.2831995602962555,0.596275365977915,"BMY, SHOP, CSX, DIS, CMCSA",BMY | SHOP | CSX | DIS | CMCSA,129 | 151 | 94 | 78 | 143,0.596275365977915,0.08000627249103757
6,3,8,10,33,42,0.2538922451193272,0.5978740625689172,"VCSH, IEF, TIP, BNDX, JNJ, RWX, SOYB, LIT, TSLA, BABA",VCSH | IEF | TIP | BNDX | JNJ | RWX | SOYB | LIT | TSLA | BABA,58 | 49 | 53 | 31 | 121 | 27 | 47 | 165 | 74 | 147,0.5978740625689172,0.07353434491636723
7,3,9,4,43,46,0.697370798296325,0.3882459881241038,"SOL-USD, AVAX-USD, BNB-USD, DOT-USD",SOL-USD | AVAX-USD | BNB-USD | DOT-USD,62 | 68 | 63 | 67,0.3882459881241038,0.08636162221843184
8,4,10,5,47,51,0.24066922617208059,0.6134431972268353,"NFLX, SNOW, NSC, GS, LLY",NFLX | SNOW | NSC | GS | LLY,77 | 138 | 95 | 80 | 126,0.6134431972268353,0.0763144514971921
9,4,11,5,52,56,0.27036266246577945,0.5988714228152902,"META, AVGO, PM, NVDA, UNP",META | AVGO | PM | NVDA | UNP,76 | 140 | 112 | 73 | 93,0.5988714228152902,0.07779166974053785
10,5,12,2,58,59,0.0748654122580773,0.6801229990751388,"SHY, LCID",SHY | LCID,52 | 158,0.6801229990751388,0.06362485955144283
