micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_abs_corr_intra,assets_preview,assets_all,raw_indices
1,1,3,2,9,10,0.14404016938479183,0.14404016938479183,"ETH-USD, BTC-USD",ETH-USD | BTC-USD,133 | 139
2,3,14,4,33,36,0.471610012481858,0.471610012481858,"UGA, USO, PDBC, DBC",UGA | USO | PDBC | DBC,144 | 131 | 113 | 156
3,3,15,3,38,40,0.2593938411322029,0.2593938411322029,"PSX, VLO, MPC",PSX | VLO | MPC,75 | 78 | 153
4,3,16,6,41,46,0.2845377689427059,0.2845377689427059,"OXY, SLB, HAL, CVX, XOM, XLE",OXY | SLB | HAL | CVX | XOM | XLE,96 | 128 | 122 | 23 | 56 | 143
5,3,25,2,75,76,0.7993765169036147,0.7993765169036147,"LOW, HD",LOW | HD,58 | 64
6,3,29,3,86,88,0.16880340758603926,0.16880340758603926,"PG, XLP, KO",PG | XLP | KO,9 | 91 | 140
7,3,36,3,103,105,0.6047226093285322,0.6047226093285322,"HYG, VWOB, EMB",HYG | VWOB | EMB,44 | 42 | 149
8,3,37,13,106,118,0.23585563105461274,0.23945180296985563,"IGOV, TIP, BNDX, SHY, TLT, VCSH, LQD, VCIT, MBB, IEF, SCHZ, AGG, BND",IGOV | TIP | BNDX | SHY | TLT | VCSH | LQD | VCIT | MBB | IEF | SCHZ | AGG | BND,3 | 117 | 142 | 35 | 72 | 148 | 16 | 94 | 6 | 151 | 134 | 1 | 111
9,3,38,6,122,127,0.1313515207236357,0.13388021230012895,"FAN, ICLN, TAN, PBD, PBW, QCLN",FAN | ICLN | TAN | PBD | PBW | QCLN,18 | 20 | 81 | 83 | 85 | 88
10,3,39,41,128,168,0.301833118212909,0.3029473294998442,"C, MS, AMZN, AAPL, GS, GOOGL, NVDA, RWX, RWO, XLRE, SCHH, IYR, VNQ, FREL, VWO, ... (+26)",C | MS | AMZN | AAPL | GS | GOOGL | NVDA | RWX | RWO | XLRE | SCHH | IYR | VNQ | FREL | VWO | EEM | IEMG | WFC | META | BRK-B | JPM | MSFT | BAC | XLB | XLC | XLF | IWM | XLY | XLI | DIA | EFA | SCHF | VEA | SPDW | ACWI | VTI | IVV | SPY | VOO | QQQ | XLK,36 | 62 | 87 | 124 | 123 | 97 | 89 | 60 | 147 | 158 | 49 | 100 | 12 | 108 | 106 | 32 | 146 | 47 | 118 | 31 | 48 | 38 | 52 | 5 | 14 | 138 | 28 | 84 | 114 | 46 | 2 | 67 | 21 | 53 | 130 | 70 | 43 | 57 | 152 | 126 | 164
