micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_abs_corr_intra,assets_preview,assets_all,raw_indices
1,1,1,2,2,3,0.10728000525584835,0.10728000525584835,"PM, GS",PM | GS,76 | 123
2,1,2,2,4,5,0.23077361038296176,0.23077361038296176,"BKR, NSC",BKR | NSC,17 | 110
3,1,4,3,7,9,0.12250604520526531,0.12250604520526531,"NVDA, UNP, SHY",NVDA | UNP | SHY,89 | 7 | 35
4,1,5,2,11,12,0.4007043359618164,0.4007043359618164,"LLY, AVGO",LLY | AVGO,112 | 163
5,2,9,6,14,19,0.32723242193167745,0.3419625222733194,"IYR, XLRE, DIA, FREL, VNQ, SCHH",IYR | XLRE | DIA | FREL | VNQ | SCHH,100 | 158 | 46 | 108 | 12 | 49
6,2,11,3,21,23,0.13877661971397187,0.13877661971397187,"IEF, LIT, QCLN",IEF | LIT | QCLN,151 | 25 | 88
7,2,13,2,24,25,0.13082067152110943,0.13082067152110943,"CAT, CSX",CAT | CSX,22 | 71
8,2,14,2,27,28,0.2758774841546762,0.2758774841546762,"DIS, VZ",DIS | VZ,86 | 165
9,2,16,2,31,32,0.010304993180081642,0.010304993180081642,"MSFT, LI",MSFT | LI,38 | 63
10,2,19,3,33,35,0.0879633263802707,0.12938510232361203,"KRBN, AMD, XOM",KRBN | AMD | XOM,135 | 24 | 56
11,2,20,4,36,39,0.311208574668194,0.311208574668194,"TLT, VWO, VWOB, EMB",TLT | VWO | VWOB | EMB,72 | 106 | 42 | 149
12,2,21,4,40,43,0.18015922239850282,0.18015922239850282,"SOYB, IWM, EEM, TIP",SOYB | IWM | EEM | TIP,161 | 28 | 32 | 117
13,2,22,2,45,46,0.062065882400436215,0.062065882400436215,"VCIT, VCSH",VCIT | VCSH,94 | 148
14,3,24,2,47,48,0.21874224247819404,0.21874224247819404,"XPEV, TSLA",XPEV | TSLA,66 | 105
15,3,25,2,50,51,0.9958972044917779,0.9958972044917779,"MS, NFLX",MS | NFLX,62 | 150
16,4,29,2,54,55,0.22858005902775116,0.22858005902775116,"DOT-USD, ADA-USD",DOT-USD | ADA-USD,34 | 95
17,4,35,3,62,64,0.3054809661805507,0.3054809661805507,"RWX, BLK, BNDX",RWX | BLK | BNDX,60 | 79 | 142
18,4,37,3,66,68,0.6042610292604745,0.6042610292604745,"XLF, XLC, AAPL",XLF | XLC | AAPL,138 | 14 | 124
19,4,39,2,70,71,0.07370297776036781,0.07370297776036781,"TJX, BRK-B",TJX | BRK-B,8 | 31
20,4,41,2,73,74,0.15909464246639285,0.15909464246639285,"TSM, JNJ",TSM | JNJ,68 | 77
21,7,61,2,93,94,0.31506857363548935,0.31506857363548935,"FAN, AMZN",FAN | AMZN,18 | 87
