sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_abs_corr_intra,assets_preview,assets_all,raw_indices
1,1,1,4,2,5,0.2288723289654103,0.2288723289654103,"PM, GS, BKR, NSC",PM | GS | BKR | NSC,76 | 123 | 17 | 110
2,1,3,6,7,12,0.3214081244908519,0.3214081244908519,"NVDA, UNP, SHY, LCID, LLY, AVGO",NVDA | UNP | SHY | LCID | LLY | AVGO,89 | 7 | 35 | 104 | 112 | 163
3,2,6,7,13,19,0.2936034203672081,0.3041249206112381,"BAC, IYR, XLRE, DIA, FREL, VNQ, SCHH",BAC | IYR | XLRE | DIA | FREL | VNQ | SCHH,52 | 100 | 158 | 46 | 108 | 12 | 49
4,2,7,4,20,23,0.13850149768587525,0.13850149768587525,"XLI, IEF, LIT, QCLN",XLI | IEF | LIT | QCLN,114 | 151 | 25 | 88
5,2,8,5,24,28,0.39375091364713183,0.39553810485811414,"CAT, CSX, SHOP, DIS, VZ",CAT | CSX | SHOP | DIS | VZ,22 | 71 | 102 | 86 | 165
6,2,9,3,30,32,0.1865061714113513,0.1865061714113513,"C, MSFT, LI",C | MSFT | LI,36 | 38 | 63
7,2,11,7,33,39,0.24227703857159244,0.2593024898250658,"KRBN, AMD, XOM, TLT, VWO, VWOB, EMB",KRBN | AMD | XOM | TLT | VWO | VWOB | EMB,135 | 24 | 56 | 72 | 106 | 42 | 149
8,2,12,7,40,46,0.2203201297504217,0.2203201297504217,"SOYB, IWM, EEM, TIP, PBW, VCIT, VCSH",SOYB | IWM | EEM | TIP | PBW | VCIT | VCSH,161 | 28 | 32 | 117 | 85 | 94 | 148
9,3,13,2,47,48,0.21874224247819404,0.21874224247819404,"XPEV, TSLA",XPEV | TSLA,66 | 105
10,3,14,5,49,53,0.36467165734842644,0.36467165734842644,"WFC, MS, NFLX, SNOW, JPM",WFC | MS | NFLX | SNOW | JPM,47 | 62 | 150 | 15 | 48
11,4,15,4,54,57,0.34285574346075115,0.34285574346075115,"DOT-USD, ADA-USD, AVAX-USD, BTC-USD",DOT-USD | ADA-USD | AVAX-USD | BTC-USD,34 | 95 | 45 | 139
12,4,16,2,59,60,0.1250156760050232,0.1250156760050232,"DOGE-USD, BNB-USD",DOGE-USD | BNB-USD,30 | 109
13,4,18,4,61,64,0.25722769853172006,0.25722769853172006,"WEAT, RWX, BLK, BNDX",WEAT | RWX | BLK | BNDX,41 | 60 | 79 | 142
14,4,19,4,65,68,0.41830316572168097,0.41830316572168097,"RWO, XLF, XLC, AAPL",RWO | XLF | XLC | AAPL,147 | 138 | 14 | 124
15,4,20,6,69,74,0.13678474241603092,0.13678474241603092,"AXP, TJX, BRK-B, BABA, TSM, JNJ",AXP | TJX | BRK-B | BABA | TSM | JNJ,29 | 8 | 31 | 27 | 68 | 77
16,5,24,2,79,80,0.434730923916671,0.434730923916671,"UPS, F",UPS | F,103 | 155
17,6,26,2,81,82,0.4581023221487258,0.4581023221487258,"ABBV, PANW",ABBV | PANW,4 | 154
18,6,27,2,83,84,0.5194402164694756,0.5194402164694756,"NKE, CRM",NKE | CRM,39 | 141
19,6,28,2,85,86,0.41007811984175707,0.41007811984175707,"TFC, CVS",TFC | CVS,54 | 99
20,6,29,2,87,88,0.3035828751960547,0.3035828751960547,"KO, MPC",KO | MPC,140 | 153
21,7,30,2,89,90,0.17062244997849044,0.17062244997849044,"MRNA, MO",MRNA | MO,13 | 19
22,7,31,6,91,96,0.3302263653648539,0.3302263653648539,"TMUS, UNH, FAN, AMZN, PFE, RIVN",TMUS | UNH | FAN | AMZN | PFE | RIVN,37 | 69 | 18 | 87 | 59 | 145
23,7,32,3,97,99,0.42709008624372896,0.42709008624372896,"TCEHY, TAN, CORN",TCEHY | TAN | CORN,73 | 81 | 82
24,7,33,10,100,109,0.3218092580188163,0.3218092580188163,"DBC, SPDW, COPX, QQQ, MBB, DBB, PBD, XLP, SLV, HYG",DBC | SPDW | COPX | QQQ | MBB | DBB | PBD | XLP | SLV | HYG,156 | 53 | 115 | 126 | 6 | 120 | 83 | 91 | 11 | 44
25,8,34,7,110,116,0.24842926442994,0.24842926442994,"PPLT, BND, SCHZ, XLB, USO, AGG, LQD",PPLT | BND | SCHZ | XLB | USO | AGG | LQD,33 | 111 | 134 | 5 | 131 | 1 | 16
26,8,35,3,117,119,0.3919667306412265,0.3919667306412265,"PSX, IGOV, IEMG",PSX | IGOV | IEMG,75 | 3 | 146
27,8,36,4,120,123,0.3684746119550926,0.3684746119550926,"FDX, CHTR, SCHW, ORCL",FDX | CHTR | SCHW | ORCL,167 | 80 | 93 | 119
28,8,37,2,124,125,0.5574363710714576,0.5574363710714576,"CMCSA, ADBE",CMCSA | ADBE,137 | 168
29,8,38,5,126,130,0.2570536207872698,0.2570536207872698,"ICLN, SLB, GOOGL, BA, GM",ICLN | SLB | GOOGL | BA | GM,20 | 128 | 97 | 74 | 116
30,9,39,3,131,133,0.1839890621556548,0.1839890621556548,"ACWI, BYDDF, VLO",ACWI | BYDDF | VLO,130 | 65 | 78
31,9,40,2,134,135,0.1797982053727488,0.1797982053727488,"XLY, UGA",XLY | UGA,84 | 144
32,9,41,3,136,138,0.12688377724448383,0.12688377724448383,"HON, CVX, MCD",HON | CVX | MCD,55 | 23 | 107
33,9,42,3,139,141,0.23860211040338322,0.23860211040338322,"REGN, HD, PEP",REGN | HD | PEP,61 | 64 | 157
34,10,43,7,144,150,0.1786784682023177,0.18535981895305925,"WMT, INFY, MELI, WBD, RTX, GILD, T",WMT | INFY | MELI | WBD | RTX | GILD | T,162 | 26 | 101 | 132 | 92 | 50 | 125
35,11,46,7,151,157,0.47672912004282353,0.47672912004282353,"OXY, SCHF, VTI, GLD, PDBC, VEA, XLK",OXY | SCHF | VTI | GLD | PDBC | VEA | XLK,96 | 67 | 70 | 166 | 113 | 21 | 164
36,11,47,5,158,162,0.3776261415186529,0.3776261415186529,"IVV, SPY, VOO, EFA, XLV",IVV | SPY | VOO | EFA | XLV,43 | 57 | 152 | 2 | 159
37,11,48,6,163,168,0.2063153536935707,0.2063153536935707,"PG, HAL, XLU, XLE, NIO, LOW",PG | HAL | XLU | XLE | NIO | LOW,9 | 122 | 136 | 143 | 40 | 58
