ordered_index,ticker,raw_permuted_index
0,KRBN,135
1,MRNA,13
2,T,125
3,VZ,165
4,XRP-USD,160
5,DOGE-USD,30
6,SOL-USD,10
7,BNB-USD,109
8,AVAX-USD,45
9,ETH-USD,133
10,BTC-USD,139
11,DOT-USD,34
12,ADA-USD,95
13,BMY,127
14,SOYB,161
15,WEAT,41
16,CORN,82
17,TMUS,37
18,TGT,51
19,GILD,50
20,WBD,132
21,PFE,59
22,CVS,99
23,REGN,61
24,INFY,26
25,SE,0
26,ABBV,4
27,IBM,98
28,SBUX,121
29,PANW,154
30,MO,19
31,LLY,112
32,FDX,167
33,UGA,144
34,USO,131
35,PDBC,113
36,DBC,156
37,BKR,17
38,PSX,75
39,VLO,78
40,MPC,153
41,OXY,96
42,SLB,128
43,HAL,122
44,CVX,23
45,XOM,56
46,XLE,143
47,LMT,90
48,CHTR,80
49,CMCSA,137
50,BA,74
51,PM,76
52,RTX,92
53,ORCL,119
54,WMT,162
55,JNJ,77
56,PPLT,33
57,SLV,11
58,GLD,166
59,TJX,8
60,NKE,39
61,INTC,129
62,SNOW,15
63,UNH,69
64,DIS,86
65,MCD,107
66,UPS,103
67,NFLX,150
68,SCHW,93
69,SHOP,102
70,GM,116
71,F,155
72,MELI,101
73,LCID,104
74,BYDDF,65
75,LOW,58
76,HD,64
77,LI,63
78,NIO,40
79,XPEV,66
80,CRM,141
81,RIVN,145
82,XLU,136
83,TSM,68
84,DBB,120
85,PEP,157
86,PG,9
87,XLP,91
88,KO,140
89,ADBE,168
90,UNP,7
91,CSX,71
92,NSC,110
93,CAT,22
94,COPX,115
95,AVGO,163
96,HON,55
97,LIT,25
98,BABA,27
99,TCEHY,73
100,AMD,24
101,TSLA,105
102,TFC,54
103,HYG,44
104,VWOB,42
105,EMB,149
106,IGOV,3
107,TIP,117
108,BNDX,142
109,SHY,35
110,TLT,72
111,VCSH,148
112,LQD,16
113,VCIT,94
114,MBB,6
115,IEF,151
116,SCHZ,134
117,AGG,1
118,BND,111
119,XLV,159
120,AXP,29
121,BLK,79
122,FAN,18
123,ICLN,20
124,TAN,81
125,PBD,83
126,PBW,85
127,QCLN,88
128,C,36
129,MS,62
130,AMZN,87
131,AAPL,124
132,GS,123
133,GOOGL,97
134,NVDA,89
135,RWX,60
136,RWO,147
137,XLRE,158
138,SCHH,49
139,IYR,100
140,VNQ,12
141,FREL,108
142,VWO,106
143,EEM,32
144,IEMG,146
145,WFC,47
146,META,118
147,BRK-B,31
148,JPM,48
149,MSFT,38
150,BAC,52
151,XLB,5
152,XLC,14
153,XLF,138
154,IWM,28
155,XLY,84
156,XLI,114
157,DIA,46
158,EFA,2
159,SCHF,67
160,VEA,21
161,SPDW,53
162,ACWI,130
163,VTI,70
164,IVV,43
165,SPY,57
166,VOO,152
167,QQQ,126
168,XLK,164
