ordered_index,ticker,raw_permuted_index
0,XRP-USD,160
1,META,118
2,PM,76
3,GS,123
4,BKR,17
5,NSC,110
6,SOL-USD,10
7,NVDA,89
8,UNP,7
9,SHY,35
10,LCID,104
11,LLY,112
12,AVGO,163
13,BAC,52
14,IYR,100
15,XLRE,158
16,DIA,46
17,FREL,108
18,VNQ,12
19,SCHH,49
20,XLI,114
21,IEF,151
22,LIT,25
23,QCLN,88
24,CAT,22
25,CSX,71
26,SHOP,102
27,DIS,86
28,VZ,165
29,IBM,98
30,C,36
31,MSFT,38
32,LI,63
33,KRBN,135
34,AMD,24
35,XOM,56
36,TLT,72
37,VWO,106
38,VWOB,42
39,EMB,149
40,SOYB,161
41,IWM,28
42,EEM,32
43,TIP,117
44,PBW,85
45,VCIT,94
46,VCSH,148
47,XPEV,66
48,TSLA,105
49,WFC,47
50,MS,62
51,NFLX,150
52,SNOW,15
53,JPM,48
54,DOT-USD,34
55,ADA-USD,95
56,AVAX-USD,45
57,BTC-USD,139
58,ETH-USD,133
59,DOGE-USD,30
60,BNB-USD,109
61,WEAT,41
62,RWX,60
63,BLK,79
64,BNDX,142
65,RWO,147
66,XLF,138
67,XLC,14
68,AAPL,124
69,AXP,29
70,TJX,8
71,BRK-B,31
72,BABA,27
73,TSM,68
74,JNJ,77
75,SBUX,121
76,LMT,90
77,BMY,127
78,INTC,129
79,UPS,103
80,F,155
81,ABBV,4
82,PANW,154
83,NKE,39
84,CRM,141
85,TFC,54
86,CVS,99
87,KO,140
88,MPC,153
89,MRNA,13
90,MO,19
91,TMUS,37
92,UNH,69
93,FAN,18
94,AMZN,87
95,PFE,59
96,RIVN,145
97,TCEHY,73
98,TAN,81
99,CORN,82
100,DBC,156
101,SPDW,53
102,COPX,115
103,QQQ,126
104,MBB,6
105,DBB,120
106,PBD,83
107,XLP,91
108,SLV,11
109,HYG,44
110,PPLT,33
111,BND,111
112,SCHZ,134
113,XLB,5
114,USO,131
115,AGG,1
116,LQD,16
117,PSX,75
118,IGOV,3
119,IEMG,146
120,FDX,167
121,CHTR,80
122,SCHW,93
123,ORCL,119
124,CMCSA,137
125,ADBE,168
126,ICLN,20
127,SLB,128
128,GOOGL,97
129,BA,74
130,GM,116
131,ACWI,130
132,BYDDF,65
133,VLO,78
134,XLY,84
135,UGA,144
136,HON,55
137,CVX,23
138,MCD,107
139,REGN,61
140,HD,64
141,PEP,157
142,SE,0
143,TGT,51
144,WMT,162
145,INFY,26
146,MELI,101
147,WBD,132
148,RTX,92
149,GILD,50
150,T,125
151,OXY,96
152,SCHF,67
153,VTI,70
154,GLD,166
155,PDBC,113
156,VEA,21
157,XLK,164
158,IVV,43
159,SPY,57
160,VOO,152
161,EFA,2
162,XLV,159
163,PG,9
164,HAL,122
165,XLU,136
166,XLE,143
167,NIO,40
168,LOW,58
