ordered_index,ticker,raw_permuted_index
0,SE,0
1,AGG,1
2,EFA,2
3,IGOV,3
4,ABBV,4
5,XLB,5
6,MBB,6
7,UNP,7
8,TJX,8
9,PG,9
10,SOL-USD,10
11,SLV,11
12,VNQ,12
13,MRNA,13
14,XLC,14
15,SNOW,15
16,LQD,16
17,BKR,17
18,FAN,18
19,MO,19
20,ICLN,20
21,VEA,21
22,CAT,22
23,CVX,23
24,AMD,24
25,LIT,25
26,INFY,26
27,BABA,27
28,IWM,28
29,AXP,29
30,DOGE-USD,30
31,BRK-B,31
32,EEM,32
33,PPLT,33
34,DOT-USD,34
35,SHY,35
36,C,36
37,TMUS,37
38,MSFT,38
39,NKE,39
40,NIO,40
41,WEAT,41
42,VWOB,42
43,IVV,43
44,HYG,44
45,AVAX-USD,45
46,DIA,46
47,WFC,47
48,JPM,48
49,SCHH,49
50,GILD,50
51,TGT,51
52,BAC,52
53,SPDW,53
54,TFC,54
55,HON,55
56,XOM,56
57,SPY,57
58,LOW,58
59,PFE,59
60,RWX,60
61,REGN,61
62,MS,62
63,LI,63
64,HD,64
65,BYDDF,65
66,XPEV,66
67,SCHF,67
68,TSM,68
69,UNH,69
70,VTI,70
71,CSX,71
72,TLT,72
73,TCEHY,73
74,BA,74
75,PSX,75
76,PM,76
77,JNJ,77
78,VLO,78
79,BLK,79
80,CHTR,80
81,TAN,81
82,CORN,82
83,PBD,83
84,XLY,84
85,PBW,85
86,DIS,86
87,AMZN,87
88,QCLN,88
89,NVDA,89
90,LMT,90
91,XLP,91
92,RTX,92
93,SCHW,93
94,VCIT,94
95,ADA-USD,95
96,OXY,96
97,GOOGL,97
98,IBM,98
99,CVS,99
100,IYR,100
101,MELI,101
102,SHOP,102
103,UPS,103
104,LCID,104
105,TSLA,105
106,VWO,106
107,MCD,107
108,FREL,108
109,BNB-USD,109
110,NSC,110
111,BND,111
112,LLY,112
113,PDBC,113
114,XLI,114
115,COPX,115
116,GM,116
117,TIP,117
118,META,118
119,ORCL,119
120,DBB,120
121,SBUX,121
122,HAL,122
123,GS,123
124,AAPL,124
125,T,125
126,QQQ,126
127,BMY,127
128,SLB,128
129,INTC,129
130,ACWI,130
131,USO,131
132,WBD,132
133,ETH-USD,133
134,SCHZ,134
135,KRBN,135
136,XLU,136
137,CMCSA,137
138,XLF,138
139,BTC-USD,139
140,KO,140
141,CRM,141
142,BNDX,142
143,XLE,143
144,UGA,144
145,RIVN,145
146,IEMG,146
147,RWO,147
148,VCSH,148
149,EMB,149
150,NFLX,150
151,IEF,151
152,VOO,152
153,MPC,153
154,PANW,154
155,F,155
156,DBC,156
157,PEP,157
158,XLRE,158
159,XLV,159
160,XRP-USD,160
161,SOYB,161
162,WMT,162
163,AVGO,163
164,XLK,164
165,VZ,165
166,GLD,166
167,FDX,167
168,ADBE,168
