main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,12,1,12,0.20737110101645323,0.09364243399213289,"META, PM, GS, BKR, NSC, SOL-USD, NVDA, UNP, SHY, LCID, LLY, AVGO",META | PM | GS | BKR | NSC | SOL-USD | NVDA | UNP | SHY | LCID | LLY | AVGO,118 | 76 | 123 | 17 | 110 | 10 | 89 | 7 | 35 | 104 | 112 | 163
2,3,34,13,46,0.3699336417500374,0.08276987797942259,"BAC, IYR, XLRE, DIA, FREL, VNQ, SCHH, XLI, IEF, LIT, QCLN, CAT, CSX, SHOP, DIS, ... (+19)",BAC | IYR | XLRE | DIA | FREL | VNQ | SCHH | XLI | IEF | LIT | QCLN | CAT | CSX | SHOP | DIS | VZ | IBM | C | MSFT | LI | KRBN | AMD | XOM | TLT | VWO | VWOB | EMB | SOYB | IWM | EEM | TIP | PBW | VCIT | VCSH,52 | 100 | 158 | 46 | 108 | 12 | 49 | 114 | 151 | 25 | 88 | 22 | 71 | 102 | 86 | 165 | 98 | 36 | 38 | 63 | 135 | 24 | 56 | 72 | 106 | 42 | 149 | 161 | 28 | 32 | 117 | 85 | 94 | 148
3,4,7,47,53,0.357650023559152,0.05447614265335844,"XPEV, TSLA, WFC, MS, NFLX, SNOW, JPM",XPEV | TSLA | WFC | MS | NFLX | SNOW | JPM,66 | 105 | 47 | 62 | 150 | 15 | 48
4,5,24,54,77,0.2825923881292179,0.0962320534119222,"DOT-USD, ADA-USD, AVAX-USD, BTC-USD, ETH-USD, DOGE-USD, BNB-USD, WEAT, RWX, BLK, BNDX, RWO, XLF, XLC, AAPL, ... (+9)",DOT-USD | ADA-USD | AVAX-USD | BTC-USD | ETH-USD | DOGE-USD | BNB-USD | WEAT | RWX | BLK | BNDX | RWO | XLF | XLC | AAPL | AXP | TJX | BRK-B | BABA | TSM | JNJ | SBUX | LMT | BMY,34 | 95 | 45 | 139 | 133 | 30 | 109 | 41 | 60 | 79 | 142 | 147 | 138 | 14 | 124 | 29 | 8 | 31 | 27 | 68 | 77 | 121 | 90 | 127
5,6,3,78,80,0.3835102495205293,0.08537135759935775,"INTC, UPS, F",INTC | UPS | F,129 | 103 | 155
6,7,8,81,88,0.2260573946035119,0.13095635216538495,"ABBV, PANW, NKE, CRM, TFC, CVS, KO, MPC",ABBV | PANW | NKE | CRM | TFC | CVS | KO | MPC,4 | 154 | 39 | 141 | 54 | 99 | 140 | 153
7,8,21,89,109,0.27134293430913603,0.06354348496015254,"MRNA, MO, TMUS, UNH, FAN, AMZN, PFE, RIVN, TCEHY, TAN, CORN, DBC, SPDW, COPX, QQQ, ... (+6)",MRNA | MO | TMUS | UNH | FAN | AMZN | PFE | RIVN | TCEHY | TAN | CORN | DBC | SPDW | COPX | QQQ | MBB | DBB | PBD | XLP | SLV | HYG,13 | 19 | 37 | 69 | 18 | 87 | 59 | 145 | 73 | 81 | 82 | 156 | 53 | 115 | 126 | 6 | 120 | 83 | 91 | 11 | 44
8,9,21,110,130,0.26963610949659755,0.08210799159943785,"PPLT, BND, SCHZ, XLB, USO, AGG, LQD, PSX, IGOV, IEMG, FDX, CHTR, SCHW, ORCL, CMCSA, ... (+6)",PPLT | BND | SCHZ | XLB | USO | AGG | LQD | PSX | IGOV | IEMG | FDX | CHTR | SCHW | ORCL | CMCSA | ADBE | ICLN | SLB | GOOGL | BA | GM,33 | 111 | 134 | 5 | 131 | 1 | 16 | 75 | 3 | 146 | 167 | 80 | 93 | 119 | 137 | 168 | 20 | 128 | 97 | 74 | 116
9,10,11,131,141,0.2837808808757809,0.055121400496349435,"ACWI, BYDDF, VLO, XLY, UGA, HON, CVX, MCD, REGN, HD, PEP",ACWI | BYDDF | VLO | XLY | UGA | HON | CVX | MCD | REGN | HD | PEP,130 | 65 | 78 | 84 | 144 | 55 | 23 | 107 | 61 | 64 | 157
10,11,9,142,150,0.22746514096169573,0.0565752674267401,"SE, TGT, WMT, INFY, MELI, WBD, RTX, GILD, T",SE | TGT | WMT | INFY | MELI | WBD | RTX | GILD | T,0 | 51 | 162 | 26 | 101 | 132 | 92 | 50 | 125
11,12,18,151,168,0.4525923903356876,0.04696252610850976,"OXY, SCHF, VTI, GLD, PDBC, VEA, XLK, IVV, SPY, VOO, EFA, XLV, PG, HAL, XLU, ... (+3)",OXY | SCHF | VTI | GLD | PDBC | VEA | XLK | IVV | SPY | VOO | EFA | XLV | PG | HAL | XLU | XLE | NIO | LOW,96 | 67 | 70 | 166 | 113 | 21 | 164 | 43 | 57 | 152 | 2 | 159 | 9 | 122 | 136 | 143 | 40 | 58
