micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,1,4,2,5,0.3184687394587282,0.037093649796005906,"PM, GS, BKR, NSC",PM | GS | BKR | NSC,76 | 123 | 17 | 110
2,1,3,6,7,12,0.18964663867941028,0.03824933544298296,"NVDA, UNP, SHY, LCID, LLY, AVGO",NVDA | UNP | SHY | LCID | LLY | AVGO,89 | 7 | 35 | 104 | 112 | 163
3,2,6,7,13,19,0.7988506715816628,0.022617688634619455,"BAC, IYR, XLRE, DIA, FREL, VNQ, SCHH",BAC | IYR | XLRE | DIA | FREL | VNQ | SCHH,52 | 100 | 158 | 46 | 108 | 12 | 49
4,2,7,4,20,23,0.3713889378515988,0.0350693070618999,"XLI, IEF, LIT, QCLN",XLI | IEF | LIT | QCLN,114 | 151 | 25 | 88
5,2,8,5,24,28,0.29152170703027785,0.04470735085358764,"CAT, CSX, SHOP, DIS, VZ",CAT | CSX | SHOP | DIS | VZ,22 | 71 | 102 | 86 | 165
6,2,9,3,30,32,0.25349031466606337,0.040173500488288154,"C, MSFT, LI",C | MSFT | LI,36 | 38 | 63
7,2,11,7,33,39,0.28505201900612115,0.026365667480610252,"KRBN, AMD, XOM, TLT, VWO, VWOB, EMB",KRBN | AMD | XOM | TLT | VWO | VWOB | EMB,135 | 24 | 56 | 72 | 106 | 42 | 149
8,2,12,7,40,46,0.36444336154726514,0.039627912640002726,"SOYB, IWM, EEM, TIP, PBW, VCIT, VCSH",SOYB | IWM | EEM | TIP | PBW | VCIT | VCSH,161 | 28 | 32 | 117 | 85 | 94 | 148
9,3,13,2,47,48,0.3576975382351118,0.029509924400441607,"XPEV, TSLA",XPEV | TSLA,66 | 105
10,3,14,5,49,53,0.4223552571709995,0.04250112629093528,"WFC, MS, NFLX, SNOW, JPM",WFC | MS | NFLX | SNOW | JPM,47 | 62 | 150 | 15 | 48
11,4,15,4,54,57,0.7315649187067973,0.04717077734632899,"DOT-USD, ADA-USD, AVAX-USD, BTC-USD",DOT-USD | ADA-USD | AVAX-USD | BTC-USD,34 | 95 | 45 | 139
12,4,16,2,59,60,0.577493823126673,0.050323588098973256,"DOGE-USD, BNB-USD",DOGE-USD | BNB-USD,30 | 109
13,4,18,4,61,64,0.1887805547218421,0.03577628249254938,"WEAT, RWX, BLK, BNDX",WEAT | RWX | BLK | BNDX,41 | 60 | 79 | 142
14,4,19,4,65,68,0.594793013099402,0.027631157263749217,"RWO, XLF, XLC, AAPL",RWO | XLF | XLC | AAPL,147 | 138 | 14 | 124
15,4,20,6,69,74,0.2745270420030935,0.03891499092880217,"AXP, TJX, BRK-B, BABA, TSM, JNJ",AXP | TJX | BRK-B | BABA | TSM | JNJ,29 | 8 | 31 | 27 | 68 | 77
16,5,24,2,79,80,0.4711750893755485,0.057375385704268624,"UPS, F",UPS | F,103 | 155
17,6,26,2,81,82,0.06363757434442567,0.05405280192420788,"ABBV, PANW",ABBV | PANW,4 | 154
18,6,27,2,83,84,0.3661962437739416,0.05772215035559167,"NKE, CRM",NKE | CRM,39 | 141
19,6,28,2,85,86,0.30915350693900245,0.046465611933203844,"TFC, CVS",TFC | CVS,54 | 99
20,6,29,2,87,88,0.15001208339267183,0.06547412142569566,"KO, MPC",KO | MPC,140 | 153
21,7,30,2,89,90,0.04779419171606131,0.046519335860302026,"MRNA, MO",MRNA | MO,13 | 19
22,7,31,6,91,96,0.22431800877685906,0.038743415471219504,"TMUS, UNH, FAN, AMZN, PFE, RIVN",TMUS | UNH | FAN | AMZN | PFE | RIVN,37 | 69 | 18 | 87 | 59 | 145
23,7,32,3,97,99,0.123118831657571,0.020477781426806226,"TCEHY, TAN, CORN",TCEHY | TAN | CORN,73 | 81 | 82
