sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,1,5,1,5,0.2690111835370078,0.052031781366707316,"META, PM, GS, BKR, NSC",META | PM | GS | BKR | NSC,118 | 76 | 123 | 17 | 110
2,1,2,6,7,12,0.18964663867941028,0.03824933544298296,"NVDA, UNP, SHY, LCID, LLY, AVGO",NVDA | UNP | SHY | LCID | LLY | AVGO,89 | 7 | 35 | 104 | 112 | 163
3,2,5,11,13,23,0.5987350276520575,0.0445705833666898,"BAC, IYR, XLRE, DIA, FREL, VNQ, SCHH, XLI, IEF, LIT, QCLN",BAC | IYR | XLRE | DIA | FREL | VNQ | SCHH | XLI | IEF | LIT | QCLN,52 | 100 | 158 | 46 | 108 | 12 | 49 | 114 | 151 | 25 | 88
4,2,6,9,24,32,0.29024828956090903,0.06607725060450369,"CAT, CSX, SHOP, DIS, VZ, IBM, C, MSFT, LI",CAT | CSX | SHOP | DIS | VZ | IBM | C | MSFT | LI,22 | 71 | 102 | 86 | 165 | 98 | 36 | 38 | 63
5,2,7,14,33,46,0.34102995978810285,0.048899813720656556,"KRBN, AMD, XOM, TLT, VWO, VWOB, EMB, SOYB, IWM, EEM, TIP, PBW, VCIT, VCSH",KRBN | AMD | XOM | TLT | VWO | VWOB | EMB | SOYB | IWM | EEM | TIP | PBW | VCIT | VCSH,135 | 24 | 56 | 72 | 106 | 42 | 149 | 161 | 28 | 32 | 117 | 85 | 94 | 148
6,3,8,7,47,53,0.357650023559152,0.05447614265335844,"XPEV, TSLA, WFC, MS, NFLX, SNOW, JPM",XPEV | TSLA | WFC | MS | NFLX | SNOW | JPM,66 | 105 | 47 | 62 | 150 | 15 | 48
7,4,9,4,54,57,0.7315649187067973,0.04717077734632899,"DOT-USD, ADA-USD, AVAX-USD, BTC-USD",DOT-USD | ADA-USD | AVAX-USD | BTC-USD,34 | 95 | 45 | 139
8,4,10,3,58,60,0.6572602113217761,0.06822255871892922,"ETH-USD, DOGE-USD, BNB-USD",ETH-USD | DOGE-USD | BNB-USD,133 | 30 | 109
9,4,11,14,61,74,0.33729350758779547,0.052202040335932835,"WEAT, RWX, BLK, BNDX, RWO, XLF, XLC, AAPL, AXP, TJX, BRK-B, BABA, TSM, JNJ",WEAT | RWX | BLK | BNDX | RWO | XLF | XLC | AAPL | AXP | TJX | BRK-B | BABA | TSM | JNJ,41 | 60 | 79 | 142 | 147 | 138 | 14 | 124 | 29 | 8 | 31 | 27 | 68 | 77
10,4,12,3,75,77,0.15661688069020926,0.10488780979668923,"SBUX, LMT, BMY",SBUX | LMT | BMY,121 | 90 | 127
11,5,13,3,78,80,0.3835102495205293,0.08537135759935775,"INTC, UPS, F",INTC | UPS | F,129 | 103 | 155
12,6,14,2,81,82,0.06363757434442567,0.05405280192420788,"ABBV, PANW",ABBV | PANW,4 | 154
13,6,15,6,83,88,0.25119502265567106,0.09496951084740482,"NKE, CRM, TFC, CVS, KO, MPC",NKE | CRM | TFC | CVS | KO | MPC,39 | 141 | 54 | 99 | 140 | 153
14,7,16,8,89,96,0.2034509048574654,0.04847721808878378,"MRNA, MO, TMUS, UNH, FAN, AMZN, PFE, RIVN",MRNA | MO | TMUS | UNH | FAN | AMZN | PFE | RIVN,13 | 19 | 37 | 69 | 18 | 87 | 59 | 145
