sub_group,parent_main_group,cluster_label_sub,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,1,5,1,5,0.20089790245413502,0.052031781366707316,"META, PM, GS, BKR, NSC",META | PM | GS | BKR | NSC,118 | 76 | 123 | 17 | 110
2,1,2,6,7,12,0.3214081244908519,0.03824933544298296,"NVDA, UNP, SHY, LCID, LLY, AVGO",NVDA | UNP | SHY | LCID | LLY | AVGO,89 | 7 | 35 | 104 | 112 | 163
3,2,5,11,13,23,0.22560326387125126,0.0445705833666898,"BAC, IYR, XLRE, DIA, FREL, VNQ, SCHH, XLI, IEF, LIT, QCLN",BAC | IYR | XLRE | DIA | FREL | VNQ | SCHH | XLI | IEF | LIT | QCLN,52 | 100 | 158 | 46 | 108 | 12 | 49 | 114 | 151 | 25 | 88
4,2,6,9,24,32,0.34316034310898796,0.06607725060450369,"CAT, CSX, SHOP, DIS, VZ, IBM, C, MSFT, LI",CAT | CSX | SHOP | DIS | VZ | IBM | C | MSFT | LI,22 | 71 | 102 | 86 | 165 | 98 | 36 | 38 | 63
5,2,7,14,33,46,0.2289878160536079,0.048899813720656556,"KRBN, AMD, XOM, TLT, VWO, VWOB, EMB, SOYB, IWM, EEM, TIP, PBW, VCIT, VCSH",KRBN | AMD | XOM | TLT | VWO | VWOB | EMB | SOYB | IWM | EEM | TIP | PBW | VCIT | VCSH,135 | 24 | 56 | 72 | 106 | 42 | 149 | 161 | 28 | 32 | 117 | 85 | 94 | 148
6,4,9,4,54,57,0.34285574346075115,0.04717077734632899,"DOT-USD, ADA-USD, AVAX-USD, BTC-USD",DOT-USD | ADA-USD | AVAX-USD | BTC-USD,34 | 95 | 45 | 139
7,4,10,3,58,60,0.1425519746642502,0.06822255871892922,"ETH-USD, DOGE-USD, BNB-USD",ETH-USD | DOGE-USD | BNB-USD,133 | 30 | 109
8,4,11,14,61,74,0.23042103175415904,0.052202040335932835,"WEAT, RWX, BLK, BNDX, RWO, XLF, XLC, AAPL, AXP, TJX, BRK-B, BABA, TSM, JNJ",WEAT | RWX | BLK | BNDX | RWO | XLF | XLC | AAPL | AXP | TJX | BRK-B | BABA | TSM | JNJ,41 | 60 | 79 | 142 | 147 | 138 | 14 | 124 | 29 | 8 | 31 | 27 | 68 | 77
9,4,12,3,75,77,0.6095103346035321,0.10488780979668923,"SBUX, LMT, BMY",SBUX | LMT | BMY,121 | 90 | 127
10,6,14,2,81,82,0.4581023221487258,0.05405280192420788,"ABBV, PANW",ABBV | PANW,4 | 154
11,6,15,6,83,88,0.41463018174269334,0.09496951084740482,"NKE, CRM, TFC, CVS, KO, MPC",NKE | CRM | TFC | CVS | KO | MPC,39 | 141 | 54 | 99 | 140 | 153
12,7,16,8,89,96,0.28160834787930067,0.04847721808878378,"MRNA, MO, TMUS, UNH, FAN, AMZN, PFE, RIVN",MRNA | MO | TMUS | UNH | FAN | AMZN | PFE | RIVN,13 | 19 | 37 | 69 | 18 | 87 | 59 | 145
13,7,17,13,97,109,0.3456256139736066,0.04263360674332914,"TCEHY, TAN, CORN, DBC, SPDW, COPX, QQQ, MBB, DBB, PBD, XLP, SLV, HYG",TCEHY | TAN | CORN | DBC | SPDW | COPX | QQQ | MBB | DBB | PBD | XLP | SLV | HYG,73 | 81 | 82 | 156 | 53 | 115 | 126 | 6 | 120 | 83 | 91 | 11 | 44
14,8,18,10,110,119,0.27253341140862725,0.03541435106317309,"PPLT, BND, SCHZ, XLB, USO, AGG, LQD, PSX, IGOV, IEMG",PPLT | BND | SCHZ | XLB | USO | AGG | LQD | PSX | IGOV | IEMG,33 | 111 | 134 | 5 | 131 | 1 | 16 | 75 | 3 | 146
15,8,19,4,120,123,0.3684746119550926,0.03962953680530996,"FDX, CHTR, SCHW, ORCL",FDX | CHTR | SCHW | ORCL,167 | 80 | 93 | 119
16,8,20,7,124,130,0.3337060169497049,0.047173446971724806,"CMCSA, ADBE, ICLN, SLB, GOOGL, BA, GM",CMCSA | ADBE | ICLN | SLB | GOOGL | BA | GM,137 | 168 | 20 | 128 | 97 | 74 | 116
17,11,23,7,151,157,0.47672912004282353,0.02851578081209653,"OXY, SCHF, VTI, GLD, PDBC, VEA, XLK",OXY | SCHF | VTI | GLD | PDBC | VEA | XLK,96 | 67 | 70 | 166 | 113 | 21 | 164
18,11,24,11,158,168,0.2612481266137645,0.03595108817065812,"IVV, SPY, VOO, EFA, XLV, PG, HAL, XLU, XLE, NIO, LOW",IVV | SPY | VOO | EFA | XLV | PG | HAL | XLU | XLE | NIO | LOW,43 | 57 | 152 | 2 | 159 | 9 | 122 | 136 | 143 | 40 | 58
