class_group,ticker,quant_group,asset_type,sector,industry,country,theme
1,DOGE-USD,5,cryptocurrency,Crypto,Crypto,Global,Crypto
1,SOL-USD,3,cryptocurrency,Crypto,Crypto,Global,Crypto
1,BNB-USD,3,cryptocurrency,Crypto,Crypto,Global,Crypto
1,AVAX-USD,3,cryptocurrency,Crypto,Crypto,Global,Crypto
1,ADA-USD,5,cryptocurrency,Crypto,Crypto,Global,Crypto
1,DOT-USD,3,cryptocurrency,Crypto,Crypto,Global,Crypto
2,SOYB,3,etf,Commodities,unknown,unknown,unknown
2,CORN,8,etf,Commodities,unknown,unknown,unknown
2,WEAT,1,etf,Commodities,unknown,unknown,unknown
3,CVS,6,equity,Healthcare,Healthcare Plans,United States,unknown
3,REGN,8,equity,Healthcare,Biotechnology,United States,unknown
3,INFY,8,equity,Technology,Information Technology Services,India,unknown
3,SE,6,equity,Consumer Cyclical,Internet Retail,Singapore,unknown
3,ABBV,6,equity,Healthcare,Drug Manufacturers - General,United States,unknown
3,IBM,7,equity,Technology,Information Technology Services,United States,unknown
3,SBUX,2,equity,Consumer Cyclical,Restaurants,United States,unknown
3,PANW,6,equity,Technology,Software - Infrastructure,United States,unknown
3,MO,7,equity,Consumer Defensive,Tobacco,United States,unknown
3,LLY,4,equity,Healthcare,Drug Manufacturers - General,United States,unknown
3,FDX,7,equity,Industrials,Integrated Freight & Logistics,United States,unknown
3,UGA,9,etf,Commodities,unknown,unknown,unknown
3,USO,9,etf,Commodities,unknown,unknown,unknown
3,DBC,10,etf,Commodities,unknown,unknown,unknown
3,PDBC,10,etf,Commodities,unknown,unknown,unknown
3,BKR,1,equity,Energy,Oil & Gas Equipment & Services,United States,unknown
3,PSX,8,equity,Energy,Oil & Gas Refining & Marketing,United States,unknown
3,MPC,6,equity,Energy,Oil & Gas Refining & Marketing,United States,unknown
3,VLO,9,equity,Energy,Oil & Gas Refining & Marketing,United States,unknown
3,OXY,10,equity,Energy,Oil & Gas E&P,United States,unknown
3,SLB,10,equity,Energy,Oil & Gas Equipment & Services,United States,unknown
3,HAL,8,equity,Energy,Oil & Gas Equipment & Services,United States,unknown
3,CVX,6,equity,Energy,Oil & Gas Integrated,United States,unknown
3,XLE,9,etf,Energy,unknown,unknown,unknown
3,XOM,9,equity,Energy,Oil & Gas Integrated,United States,unknown
3,LMT,1,equity,Industrials,Aerospace & Defense,United States,unknown
3,CMCSA,2,equity,Communication Services,Telecom Services,United States,unknown
3,CHTR,8,equity,Communication Services,Telecom Services,United States,unknown
3,BA,10,equity,Industrials,Aerospace & Defense,United States,unknown
3,PM,4,equity,Consumer Defensive,Tobacco,United States,unknown
3,RTX,8,equity,Industrials,Aerospace & Defense,United States,unknown
3,ORCL,7,equity,Technology,Software - Infrastructure,United States,unknown
3,WMT,8,equity,Consumer Defensive,Discount Stores,United States,unknown
3,PPLT,10,etf,Commodities,unknown,unknown,unknown
3,GLD,10,etf,Commodities,unknown,unknown,unknown
3,SLV,10,etf,Commodities,unknown,unknown,unknown
3,TJX,1,equity,Consumer Cyclical,Apparel Retail,United States,unknown
3,NKE,6,equity,Consumer Cyclical,Footwear & Accessories,United States,unknown
3,INTC,6,equity,Technology,Semiconductors,United States,unknown
3,SNOW,4,equity,Technology,Software - Application,United States,unknown
3,UNH,11,equity,Healthcare,Healthcare Plans,United States,unknown
3,DIS,2,equity,Communication Services,Entertainment,United States,unknown
3,MCD,9,equity,Consumer Cyclical,Restaurants,United States,unknown
