class_group,quant_group,intersection,jaccard,class_size,quant_size
1,3,4,0.21052631578947367,9,14
3,10,29,0.19463087248322147,147,31
3,9,25,0.17006802721088435,147,25
1,5,2,0.16666666666666666,9,5
3,1,24,0.16,147,27
3,6,14,0.09523809523809523,147,14
3,8,14,0.0915032679738562,147,20
3,4,10,0.06802721088435375,147,10
3,11,10,0.06756756756756757,147,11
2,3,1,0.0625,3,14
3,3,9,0.05921052631578947,147,14
1,1,2,0.058823529411764705,9,27
2,8,1,0.045454545454545456,3,20
2,1,1,0.034482758620689655,3,27
3,2,5,0.033783783783783786,147,6
3,7,4,0.02702702702702703,147,5
3,5,3,0.020134228187919462,147,5
1,10,0,0.0,9,31
1,11,0,0.0,9,11
1,2,0,0.0,9,6
1,4,0,0.0,9,10
1,6,0,0.0,9,14
1,7,0,0.0,9,5
1,8,0,0.0,9,20
1,9,0,0.0,9,25
2,10,0,0.0,3,31
2,11,0,0.0,3,11
2,2,0,0.0,3,6
2,4,0,0.0,3,10
2,5,0,0.0,3,5
2,6,0,0.0,3,14
2,7,0,0.0,3,5
2,9,0,0.0,3,25
