ordered_index,ticker,raw_index
0,XRP-USD,64
1,META,76
2,GS,80
3,PM,112
4,NSC,95
5,BKR,107
6,SOL-USD,62
7,NVDA,73
8,SHY,52
9,UNP,93
10,LCID,158
11,LLY,126
12,AVGO,140
13,BAC,81
14,XLRE,22
15,IYR,26
16,FREL,29
17,DIA,2
18,VNQ,25
19,SCHH,28
20,XLI,17
21,SOYB,47
22,IWM,3
23,EEM,8
24,TIP,53
25,VCIT,59
26,PBW,163
27,VCSH,58
28,KRBN,168
29,VWO,10
30,XOM,100
31,TLT,48
32,VWOB,32
33,EMB,35
34,C,82
35,LI,160
36,MSFT,70
37,AMD,131
38,CAT,90
39,CSX,94
40,SHOP,151
41,DIS,78
42,VZ,141
43,ETH-USD,61
44,TSLA,74
45,DOGE-USD,66
46,XPEV,159
47,WFC,83
48,MS,84
49,SNOW,138
50,NFLX,77
51,JPM,79
52,SBUX,118
53,LMT,92
54,BMY,129
55,RWO,30
56,XLF,15
57,TSM,133
58,XLC,20
59,AAPL,69
60,BRK-B,75
61,TJX,120
62,BABA,147
63,AXP,85
64,JNJ,121
65,BTC-USD,60
66,QCLN,164
67,IEF,49
68,LIT,165
69,WEAT,46
70,RWX,27
71,BNDX,31
72,BLK,86
73,AVAX-USD,68
74,BNB-USD,63
75,ADA-USD,65
76,DOT-USD,67
77,INTC,132
78,UPS,96
79,F,156
80,ABBV,125
81,PANW,139
82,TFC,88
83,CVS,124
84,NKE,119
85,CRM,137
86,MPC,102
87,KO,109
88,SCHW,87
89,ORCL,134
90,FDX,97
91,CHTR,144
92,MO,111
93,MRNA,127
94,PFE,122
95,AMZN,72
96,FAN,166
97,UNH,123
98,TMUS,145
99,RIVN,157
100,PSX,103
101,PBD,167
102,BA,89
103,GM,155
104,GOOGL,71
105,SLB,105
106,ICLN,161
107,IBM,135
108,ADBE,136
109,CMCSA,143
110,IGOV,33
111,IEMG,34
112,BND,55
113,PPLT,38
114,SCHZ,57
115,XLB,24
116,USO,43
117,LQD,50
118,AGG,54
119,QQQ,1
120,DBB,40
121,MBB,56
122,TCEHY,148
123,CORN,45
124,TAN,162
125,SPDW,12
126,COPX,39
127,XLP,21
128,SLV,37
129,HYG,51
130,REGN,128
131,SE,152
132,PEP,110
133,HD,115
134,ACWI,11
135,VLO,104
136,BYDDF,154
137,HON,91
138,CVX,99
139,MCD,117
140,XLY,18
141,UGA,44
142,WMT,113
143,GILD,130
144,INFY,150
145,MELI,153
146,PG,108
147,WBD,146
148,TGT,114
149,RTX,98
150,T,142
151,SCHF,13
152,OXY,101
153,VEA,9
154,GLD,36
155,VTI,5
156,XLK,14
157,DBC,41
158,PDBC,42
159,XLV,19
160,IVV,4
161,EFA,7
162,SPY,0
163,VOO,6
164,HAL,106
165,NIO,149
166,XLE,16
167,XLU,23
168,LOW,116
