ordered_index,ticker,raw_index
0,SPY,0
1,QQQ,1
2,DIA,2
3,IWM,3
4,IVV,4
5,VTI,5
6,VOO,6
7,EFA,7
8,EEM,8
9,VEA,9
10,VWO,10
11,ACWI,11
12,SPDW,12
13,SCHF,13
14,XLK,14
15,XLF,15
16,XLE,16
17,XLI,17
18,XLY,18
19,XLV,19
20,XLC,20
21,XLP,21
22,XLRE,22
23,XLU,23
24,XLB,24
25,VNQ,25
26,IYR,26
27,RWX,27
28,SCHH,28
29,FREL,29
30,RWO,30
31,BNDX,31
32,VWOB,32
33,IGOV,33
34,IEMG,34
35,EMB,35
36,GLD,36
37,SLV,37
38,PPLT,38
39,COPX,39
40,DBB,40
41,DBC,41
42,PDBC,42
43,USO,43
44,UGA,44
45,CORN,45
46,WEAT,46
47,SOYB,47
48,TLT,48
49,IEF,49
50,LQD,50
51,HYG,51
52,SHY,52
53,TIP,53
54,AGG,54
55,BND,55
56,MBB,56
57,SCHZ,57
58,VCSH,58
59,VCIT,59
60,BTC-USD,60
61,ETH-USD,61
62,SOL-USD,62
63,BNB-USD,63
64,XRP-USD,64
65,ADA-USD,65
66,DOGE-USD,66
67,DOT-USD,67
68,AVAX-USD,68
69,AAPL,69
70,MSFT,70
71,GOOGL,71
72,AMZN,72
73,NVDA,73
74,TSLA,74
75,BRK-B,75
76,META,76
77,NFLX,77
78,DIS,78
79,JPM,79
80,GS,80
81,BAC,81
82,C,82
83,WFC,83
84,MS,84
85,AXP,85
86,BLK,86
87,SCHW,87
88,TFC,88
89,BA,89
90,CAT,90
91,HON,91
92,LMT,92
93,UNP,93
94,CSX,94
95,NSC,95
96,UPS,96
97,FDX,97
98,RTX,98
99,CVX,99
100,XOM,100
101,OXY,101
102,MPC,102
103,PSX,103
104,VLO,104
105,SLB,105
106,HAL,106
107,BKR,107
108,PG,108
109,KO,109
110,PEP,110
111,MO,111
112,PM,112
113,WMT,113
114,TGT,114
115,HD,115
116,LOW,116
117,MCD,117
118,SBUX,118
119,NKE,119
120,TJX,120
121,JNJ,121
122,PFE,122
123,UNH,123
124,CVS,124
125,ABBV,125
126,LLY,126
127,MRNA,127
128,REGN,128
129,BMY,129
130,GILD,130
131,AMD,131
132,INTC,132
133,TSM,133
134,ORCL,134
135,IBM,135
136,ADBE,136
137,CRM,137
138,SNOW,138
139,PANW,139
140,AVGO,140
141,VZ,141
142,T,142
143,CMCSA,143
144,CHTR,144
145,TMUS,145
146,WBD,146
147,BABA,147
148,TCEHY,148
149,NIO,149
150,INFY,150
151,SHOP,151
152,SE,152
153,MELI,153
154,BYDDF,154
155,GM,155
156,F,156
157,RIVN,157
158,LCID,158
159,XPEV,159
160,LI,160
161,ICLN,161
162,TAN,162
163,PBW,163
164,QCLN,164
165,LIT,165
166,FAN,166
167,PBD,167
168,KRBN,168
